City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hasaki,JP,2022-07-15 11:08:01,35.7333,140.8333,75.6,93,100,8.03
1,Avarua,CK,2022-07-15 11:08:02,-21.2078,-159.775,73.45,68,100,8.05
2,Hobart,AU,2022-07-15 11:08:02,-42.8794,147.3294,46.26,83,40,8.05
3,Jalu,LY,2022-07-15 11:08:03,29.0331,21.5482,89.64,23,0,8.99
4,Chokurdakh,RU,2022-07-15 11:08:03,70.6333,147.9167,63.95,59,100,3.06
5,Punta Arenas,CL,2022-07-15 11:08:04,-53.15,-70.9167,30.22,100,20,8.05
6,Isangel,VU,2022-07-15 11:08:04,-19.55,169.2667,71.67,80,99,13.71
7,Pochutla,MX,2022-07-15 11:08:04,15.7432,-96.4661,75.81,73,100,4.16
8,Georgetown,MY,2022-07-15 11:05:08,5.4112,100.3354,89.53,66,20,5.75
9,Marrakesh,MA,2022-07-15 11:08:05,31.6315,-8.0083,93.27,40,20,3.44
10,Mataura,NZ,2022-07-15 11:08:06,-46.1927,168.8643,36.48,98,89,3.13
11,Thap Khlo,TH,2022-07-15 11:08:06,16.16,100.5966,86.16,75,100,1.77
12,Dikson,RU,2022-07-15 11:08:07,73.5069,80.5464,43.95,79,11,15.12
13,Quatre Cocos,MU,2022-07-15 11:08:07,-20.2078,57.7625,75.31,70,65,13.96
14,Grand Forks,US,2022-07-15 11:08:07,47.9417,-97.4337,61.79,100,40,5.75
15,East London,ZA,2022-07-15 11:08:08,-33.0153,27.9116,65.12,54,0,6.02
16,Puerto Ayora,EC,2022-07-15 11:08:08,-0.7393,-90.3518,68.56,97,84,7.0
17,Nikolskoye,RU,2022-07-15 11:08:09,59.7035,30.7861,68.92,39,100,6.98
18,Khatanga,RU,2022-07-15 11:08:09,71.9667,102.5,63.25,39,69,7.96
19,Narsaq,GL,2022-07-15 11:03:12,60.9167,-46.05,53.82,54,80,3.4
20,Barrow,US,2022-07-15 11:04:16,71.2906,-156.7887,33.82,80,100,8.05
21,Inhambane,MZ,2022-07-15 11:08:11,-23.865,35.3833,75.56,50,1,13.58
